	GO:0002119~nematode larval development	GO:0000003~reproduction	GO:0009792~embryo development ending in birth or egg hatching	
Pre-rRNA-processing protein TSR1 homolog(tag-151)	0	1	1	
hypothetical protein(Y53C12B.1)	0	1	1	
hypothetical protein(C23G10.8)	0	1	1	
Eukaryotic Initiation Factor(eif-3.I)	0	1	1	
Interactor of FizzY protein(ify-1)	0	1	1	
hypothetical protein(Y54F10AR.1)	0	1	1	
Protein pop-1(pop-1)	0	1	1	
Protein kinase C-like 3(pkc-3)	0	1	1	
SWI/SNF nucleosome remodeling complex component(swsn-4)	0	1	1	
Replication factor C subunit 4(rfc-4)	0	1	1	
Putative zinc finger protein C02F5.12(C02F5.12)	0	1	1	
hypothetical protein(K04G7.1)	0	1	1	
fatty Acid CoA Synthetase family(acs-4)	0	1	1	
yeast SEC homolog(sec-31)	0	1	1	
protein KINase(kin-4)	0	1	1	
hypothetical protein(M04B2.4)	0	1	1	
hypothetical protein(mig-38)	0	1	1	
Vacuolar protein sorting-associated protein 35(vps-35)	0	1	1	
TRPA cation channel homolog(trpa-1)	0	1	1	
Succinate dehydrogenase cytochrome b560 subunit, mitochondrial(mev-1)	0	1	1	
Membrane-associated protein gex-3(gex-3)	1	1	1	
40S ribosomal protein S23(rps-23)	1	1	1	
Mitochondrial Ribosomal Protein, Small(mrps-35)	1	1	1	
Bromodomain-containing protein bet-1(bet-1)	1	1	1	
Pre-mRNA-splicing factor 8 homolog(prp-8)	1	1	1	
60S ribosomal protein L24(rpl-24.1)	1	1	1	
Brix domain-containing protein ZK795.3(ZK795.3)	1	1	1	
hypothetical protein(T14B4.3)	1	1	1	
hypothetical protein(sld-2)	1	1	1	
Egg-laying defective protein 27(egl-27)	1	1	1	
Mitochondrial import inner membrane translocase subunit Tim10B(tin-9.2)	1	1	1	
Rho-associated protein kinase let-502(let-502)	1	1	1	
hypothetical protein(Y48A6C.6)	1	1	1	
26S proteasome non-ATPase regulatory subunit 3(rpn-3)	1	1	1	
Lysine--tRNA ligase(kars-1)	1	1	1	
Defective in germ line development protein 3(gld-3)	1	1	1	
Proteasome subunit alpha type-4(pas-3)	1	1	1	
Zinc Finger Protein(zfp-1)	1	1	1	
Target of rapamycin homolog(let-363)	1	1	1	
Defective pharyngeal development protein 4(pha-4)	1	1	1	
Ezrin/Radixin/Moesin(erm-1)	1	1	1	
ATP synthase subunit(atp-3)	1	1	1	
60S ribosomal protein L18(rpl-18)	1	1	1	
60S ribosomal protein L19(rpl-19)	1	1	1	
hypothetical protein(F59A3.4)	1	1	1	
Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit 2(ostd-1)	1	1	1	
Cyclin-dependent kinase inhibitor 1(cki-1)	1	1	1	
Spindle apparatus protein lin-5(lin-5)	1	1	1	
Probable V-type proton ATPase subunit G(vha-10)	1	1	1	
Dolichyl-diphosphooligosaccharide--protein glycosyltransferase 48 kDa subunit(ostb-1)	1	1	1	
Protein patched homolog 1(ptc-1)	1	1	1	
Mitochondrial import inner membrane translocase subunit TIM14(dnj-21)	1	1	1	
Nuclear Pore complex Protein(npp-7)	1	1	1	
SR Protein Kinase(spk-1)	1	1	1	
V-type proton ATPase subunit D(vha-14)	1	1	1	
WW domain-containing protein ZK1098.1(ZK1098.1)	1	1	1	
hypothetical protein(lin-35)	1	1	1	
hypothetical protein(C32F10.8)	1	1	1	
EPS (human endocytosis) related(eps-8)	1	1	1	
T-complex protein 1 subunit alpha(cct-1)	1	1	1	
hypothetical protein(Y41E3.11)	1	1	1	
Polyadenylation and cleavage factor homolog 11(pcf-11)	1	1	1	
V-type proton ATPase 16 kDa proteolipid subunit 1(vha-1)	1	1	1	
Eukaryotic translation initiation factor 3 subunit G(eif-3.G)	1	1	1	
Phenylalanine--tRNA ligase beta subunit(fars-3)	1	1	1	
Phenylalanyl Amino-acyl tRNA Synthetase(fars-1)	1	1	1	
Ras-like GTP-binding protein rhoA(rho-1)	1	1	1	
40S ribosomal protein S17(rps-17)	1	1	1	
Eukaryotic translation initiation factor 5A-2(iff-2)	1	1	1	
60S ribosomal protein L5(rpl-5)	1	1	1	
hypothetical protein(lsy-2)	1	1	1	
Cleavage and Polyadenylation Factor(cpf-1)	1	1	1	
Kinetochore NuLl(knl-2)	1	1	1	
Heat shock 70 kDa protein A(hsp-1)	1	1	1	
Trehalase(tre-1)	1	1	1	
Enolase(enol-1)	1	1	1	
T-complex protein 1 subunit beta(cct-2)	1	1	1	
2,3-bisphosphoglycerate-independent phosphoglycerate mutase(ipgm-1)	1	1	1	
hypothetical protein(C18E9.4)	1	1	1	
Non-muscle MYosin(nmy-1)	1	1	1	
Ribosomal RNA small subunit methyltransferase nep-1(Y39A1A.14)	1	1	1	
G1/S-specific cyclin-E(cye-1)	1	1	1	
Transcription factor jun-1(jun-1)	1	1	1	
Actin-interacting protein 1(unc-78)	1	1	1	
Asparagine--tRNA ligase, cytoplasmic(nars-1)	1	1	1	
Glycogenin-1(gyg-1)	1	1	1	
Adenylosuccinate lyase(adsl-1)	1	1	1	
Membrane-associated tyrosine-and threonine-specific cdc2-inhibitory kinase wee-1.3(wee-1.3)	1	1	1	
ELongin B(elb-1)	1	1	1	
SR Protein (splicing factor)(rsp-8)	1	1	1	
ATP Synthase B homolog(asb-2)	1	1	1	
hypothetical protein(F33H1.4)	1	1	1	
Worm AIF (apoptosis inducing factor) Homolog(wah-1)	1	1	1	
hypothetical protein(lsy-22)	1	1	1	
Mediator of RNA polymerase II transcription subunit 22(mdt-22)	1	1	1	
Probable V-type proton ATPase subunit F(vha-9)	1	1	1	
HIStone(his-72)	1	1	1	
Actin-4(act-4)	1	1	1	
Probable small nuclear ribonucleoprotein E(snr-6)	1	1	1	
Transitional endoplasmic reticulum ATPase homolog 1(cdc-48.1)	1	1	1	
Enhancer of PolyComb-like(epc-1)	1	1	1	
hypothetical protein(Y111B2A.12)	1	1	1	
Beta-amyloid-like protein(apl-1)	1	1	1	
RNA Polymerase II (B) subunit(rpb-12)	1	1	1	
Casein kinase II subunit beta(kin-10)	1	1	1	
Cytochrome c oxidase subunit 5A, mitochondrial(cco-2)	1	1	1	
Probable histone-lysine N-methyltransferase lin-59(lin-59)	1	1	1	
hypothetical protein(let-607)	1	1	1	
Drosophila Discs LarGe homolog(dlg-1)	1	1	1	
Nuclear/nucleolar GTP-binding Protein family(ngp-1)	1	1	1	
F-actin-capping protein subunit beta(cap-2)	1	1	1	
Dauer or Aging adult Overexpression(dao-5)	1	1	1	
Vesicle-fusing ATPase(nsf-1)	1	1	1	
yeast SEC homolog(sec-12)	1	1	1	
Ribosomal protein L36.A(rpl-36.A)	1	1	1	
hypothetical protein(lin-40)	1	1	1	
Cleavage Factor IM (CFIm) homolog(cfim-1)	1	1	1	
Adenine Nucleotide Translocator(ant-1.1)	1	1	1	
Lamin-1(lmn-1)	1	1	1	
40S ribosomal protein S15(rps-15)	1	1	1	
ACTin(act-5)	1	1	1	
Histone-lysine N-methyltransferase(set-16)	1	1	1	
hypothetical protein(Y61A9LA.10)	1	1	1	
FumarylAcetoacetate Hydrolase(fah-1)	1	1	1	
Probable NADH dehydrogenase [ubiquinone] iron-sulfur protein 7, mitochondrial(nduf-7)	1	1	1	
Daf-12-interacting protein 1(din-1)	1	1	1	
hypothetical protein(F29C4.2)	1	1	1	
Threonine--tRNA ligase, cytoplasmic(tars-1)	1	1	1	
Elongation factor 2(eef-2)	1	1	1	
DNA-directed RNA polymerase subunit beta(rpoa-2)	1	1	1	
Skp1-related protein(skr-1)	1	1	1	
Laminin-like protein lam-2(lam-2)	1	1	1	
60S ribosomal protein L15(rpl-15)	1	1	1	
DNA helicase(mcm-2)	1	1	1	
Probable RNA methyltransferase Y17G7B.18(Y17G7B.18)	1	1	1	
related to yeast Vacuolar Protein Sorting factor(vps-37)	1	1	1	
mRNA Capping Enzyme Like(cel-1)	1	1	1	
Probable ribosome biogenesis protein RLP24(rpl-24.2)	1	1	1	
Hydroxymethylglutaryl-CoA synthase(hmgs-1)	1	1	1	
Ribosomal Protein, Large subunit(rpl-14)	1	1	1	
NMUR (NeuroMedin U Receptor) homolog(nmur-4)	1	1	1	
hypothetical protein(Y55F3AM.3)	1	1	1	
GEI-4 (Four) Interacting protein(gfi-2)	1	1	1	
COP9 signalosome complex subunit 4(csn-4)	1	1	1	
Cytochrome C Oxidase(cco-1)	1	1	1	
hypothetical protein(Y77E11A.7)	1	1	1	
SYmmetrical Sister cell hermaphrodite gonad defect(sys-1)	1	1	1	
Protein SEC13 homolog(npp-20)	1	1	1	
Aldehyde dehydrogenase(alh-4)	1	1	1	
CTP synthase(ctps-1)	1	1	1	
Casein kinase I gamma(csnk-1)	1	1	1	
Ribosomal RNA-processing protein 7 homolog(ZC434.4)	1	1	1	
40S ribosomal protein S7(rps-7)	1	1	1	
Elongation factor G, mitochondrial(gfm-1)	1	1	1	
PolyA Binding protein(pab-1)	1	1	1	
hypothetical protein(F25H2.4)	1	1	1	
Proteasome subunit alpha type-5(pas-5)	1	1	1	
hypothetical protein(Y57E12AL.6)	1	1	1	
Eukaryotic translation initiation factor 3 subunit E(eif-3.E)	1	1	1	
hypothetical protein(K12H4.5)	1	1	1	
Cadherin-related hmr-1(hmr-1)	1	1	1	
Probable DNA-directed RNA polymerase II subunit RPB11(rpb-11)	1	1	1	
Ribosome biogenesis protein BOP1 homolog(Y48B6A.1)	1	1	1	
hypothetical protein(smgl-2)	1	1	1	
SNAP (Soluble NSF Attachment Protein) homolog(snap-1)	1	1	1	
hypothetical protein(vab-10)	1	1	1	
Masculinisation Of Germline(mog-4)	1	1	1	
DNaJ domain (prokaryotic heat shock protein)(dnj-22)	1	1	1	
Eukaryotic translation initiation factor 3 subunit B(eif-3.B)	1	1	1	
GTP-binding protein SAR1(sar-1)	1	1	1	
AT hook Transcription Factor family(attf-3)	1	1	1	
GEX Interacting protein(gei-4)	1	1	1	
14-3-3-like protein 2(ftt-2)	1	1	1	
GDP-fucose transporter(nstp-10)	1	1	1	
Histone H4(his-37)	1	1	1	
Temporal Asymmetry between Division of Sister cells(tads-1)	1	1	1	
hypothetical protein(Y48G10A.4)	1	1	1	
KNL (kinetochore null) Binding Protein(kbp-4)	1	1	1	
60S ribosomal protein L31(rpl-31)	1	1	1	
hypothetical protein(W04A4.5)	1	1	1	
hypothetical protein(W09C5.8)	1	1	1	
Protein skinhead-1(skn-1)	1	1	1	
C-type LECtin(clec-178)	1	1	1	
Putative RNA-binding protein R05D3.8(R05D3.8)	1	1	1	
Chaperonin homolog Hsp-60, mitochondrial(hsp-60)	1	1	1	
Probable RNA-binding protein EIF1AD(ZK856.11)	1	1	1	
Lin-12 And Glp-1 phenotype(lag-1)	1	1	1	
Cyclin-dependent kinase 4 homolog(cdk-4)	1	1	1	
Protein argonaute(alg-1)	1	1	1	
Tropomyosin isoforms a/b/d/f(lev-11)	1	1	1	
AP complex subunit beta(apb-1)	1	1	1	
LiPid Depleted(lpd-9)	1	1	1	
hypothetical protein(let-805)	1	1	1	
Vacuolar H ATPase(vha-8)	1	1	1	
DYnein Chain, light Intermediate(dyci-1)	1	1	1	
SWI/SNF nucleosome remodeling complex component(swsn-3)	1	1	1	
TU elongation Factor (EF-Tu), Mitochondrial(tufm-1)	1	1	1	
hypothetical protein(F56F11.4)	1	1	1	
PLeiotropic ReGulator (vertebrate) homolog(plrg-1)	1	1	1	
RuvB-like 2(ruvb-2)	1	1	1	
Ubiquitin-like protein 1(ubl-1)	1	1	1	
Actin-2(act-2)	1	1	1	
Actin-1(act-1)	1	1	1	
Actin-Related Proteins(arp-11)	1	1	1	
ELAV-Type RNA binding-protein family(etr-1)	1	1	1	
hypothetical protein(ben-1)	1	1	1	
Protein lag-3(sel-8)	1	1	1	
V-type proton ATPase 16 kDa proteolipid subunit 2/3(vha-2)	1	1	1	
Chromosome condensation protein dpy-27(dpy-27)	1	1	1	
Sterile alpha and TIR motif-containing protein tir-1(tir-1)	1	1	1	
Dynamin(dyn-1)	1	1	1	
60S ribosomal protein L3(rpl-3)	1	1	1	
Probable splicing factor, arginine/serine-rich 6(rsp-6)	1	1	1	
Protein lin-15B(lin-15B)	1	1	1	
V-type proton ATPase catalytic subunit A(vha-13)	1	1	1	
Tubulin beta-2 chain(tbb-2)	1	1	1	
Chromosome-Segregation and RNAi deficient(csr-1)	1	1	1	
Probable small nuclear ribonucleoprotein Sm D2(snr-4)	1	1	1	
hypothetical protein(F20D12.2)	1	1	1	
CYclin L(cyl-1)	1	1	1	
Mitogen-activated protein kinase mpk-1(mpk-1)	1	1	1	
26S protease regulatory subunit 7(rpt-1)	1	1	1	
Cyclin-dependent kinase 12(cdk-12)	1	1	1	
G patch domain-containing protein 1 homolog(R07E5.1)	1	1	1	
40S ribosomal protein S3a(rps-1)	1	1	1	
Probable signal recognition particle subunit SRP68(srpa-68)	1	1	1	
Chaperonin Containing TCP-1(cct-5)	1	1	1	
hypothetical protein(T26A8.4)	1	1	1	
Polycomb protein mes-6(mes-6)	1	1	1	
hypothetical protein(T04A8.6)	1	1	1	
hypothetical protein(Y71H2AM.5)	1	1	1	
SNAPc (Small Nuclear RNA Activating Complex) homolog(snpc-3.4)	1	1	1	
La-related protein 1(larp-1)	1	1	1	
60S ribosomal protein L7(rpl-7)	1	1	1	
Ras-related protein rab-11.1(rab-11.1)	1	1	1	
TAF (TBP-associated transcription factor) family(taf-4)	1	1	1	
Probable coatomer subunit beta'(copb-2)	1	1	1	
Inhibitor of Cell Death(icd-2)	1	1	1	
Probable serine/threonine-protein phosphatase PP2A regulatory subunit(paa-1)	1	1	1	
LiPIN (mammalian lipodystrophy associated) homolog(lpin-1)	1	1	1	
mRNA transport homolog 4(mtr-4)	1	1	1	
Partitioning defective protein 3(par-3)	1	1	1	
AdaPtin, Small chain (clathrin associated complex)(aps-3)	1	1	1	
Nuclear Pore complex Protein(npp-1)	1	1	1	
hypothetical protein(K12C11.1)	1	1	1	
NOT-Like (yeast CCR4/NOT complex component)(ntl-2)	1	1	1	
hypothetical protein(ZK430.7)	1	1	1	
hypothetical protein(ZC376.6)	1	1	1	
hypothetical protein(C53H9.2)	1	1	1	
Probable protein phosphatase methylesterase 1(B0464.9)	1	1	1	
TransKeTolase homolog(tkt-1)	1	1	1	
RNAi-Induced Longevity(ril-1)	1	1	1	
Heat shock protein 90(daf-21)	1	1	1	
Protein unc-112(unc-112)	1	1	1	
26S proteasome non-ATPase regulatory subunit 1(rpn-2)	1	1	1	
hypothetical protein(Y39G10AR.8)	1	1	1	
DNA helicase(mcm-4)	1	1	1	
Small Glutamine-rich Tetratrico repeat protein(sgt-1)	1	1	1	
Very-long-chain 3-oxooacyl-coA reductase let-767(let-767)	1	1	1	
AdaPtin, Small chain (clathrin associated complex)(aps-2)	1	1	1	
hypothetical protein(C16A3.6)	1	1	1	
Proteasome subunit beta type-3(pbs-3)	1	1	1	
hypothetical protein(let-716)	1	1	1	
Ubiquitin-Like Protease(ulp-2)	1	1	1	
ORC (Origin Recognition Complex) subunit(orc-5)	1	1	1	
hypothetical protein(let-526)	1	1	1	
Mediator of RNA polymerase II transcription subunit 1.1(sop-3)	1	1	1	
Tyrosine-protein phosphatase vhp-1(vhp-1)	1	1	1	
NTF2-related eXporT protein(nxt-1)	1	1	1	
hypothetical protein(K04C2.2)	1	1	1	
ATP-dependent RNA helicase SUV3 homolog, mitochondrial(C08F8.2)	1	1	1	
Probable 26S proteasome regulatory subunit rpn-6.1(rpn-6.1)	1	1	1	
Serine/threonine-protein kinase RIO1(riok-1)	1	1	1	
Histone H2A(his-3)	1	1	1	
NADH Ubiquinone Oxidoreductase(nuo-4)	1	1	1	
40S ribosomal protein S14(rps-14)	1	1	1	
hypothetical protein(F37C12.1)	1	1	1	
TIA-1/TIAL RNA binding protein homolog(tiar-1)	1	1	1	
EXOSome (multiexonuclease complex) component(exos-9)	1	1	1	
Ribosomal Protein, Small subunit(rps-11)	1	1	1	
hypothetical protein(F56C9.10)	1	1	1	
60S ribosomal protein L13(rpl-13)	1	1	1	
Frataxin, mitochondrial(frh-1)	1	1	1	
Nuclear Pore complex Protein(npp-11)	1	1	1	
Anamorsin homolog(T20B12.7)	1	1	1	
IMportin Beta family(imb-3)	1	1	1	
hypothetical protein(unc-108)	1	1	1	
14-3-3-like protein 1(par-5)	1	1	1	
60S ribosomal protein L9(rpl-9)	1	1	1	
Serine/threonine-protein phosphatase(let-92)	1	1	1	
Histone H3(his-59)	1	1	1	
60S ribosomal protein L35(rpl-35)	1	1	1	
hypothetical protein(F11A10.7)	1	1	1	
ATP synthase subunit delta, mitochondrial(F58F12.1)	1	1	1	
proteasome Regulatory Particle, Non-ATPase-like(rpn-8)	1	1	1	
hypothetical protein(C27A2.12)	1	1	1	
